alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target,target_name,PC1,PC2,PC3,PC4,PC5
14.23,1.71,2.43,15.6,127.0,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065.0,0,class_0,3.316750812214776,1.443462634318009,-0.165739044614417,-0.2156311875590908,0.6930428405893471
13.2,1.78,2.14,11.2,100.0,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050.0,0,class_0,2.209464916918847,-0.33339288708029907,-2.0264573738075358,-0.2913583181806719,-0.2576546345111326
13.16,2.36,2.67,18.6,101.0,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185.0,0,class_0,2.5167401466103825,1.0311512962743183,0.9828186702120616,0.7249023094447329,-0.25103311818405366
14.37,1.95,2.5,16.8,113.0,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480.0,0,class_0,3.757065609773205,2.7563719137107108,-0.1761918421994914,0.5679833077759007,-0.31184159119241345
13.24,2.59,2.87,21.0,118.0,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735.0,0,class_0,1.0089084937957156,0.8698308214172035,2.026688219235409,-0.40976578835747335,0.29845750303764834
14.2,1.76,2.45,15.2,112.0,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450.0,0,class_0,3.0502539224180785,2.1224011146341906,-0.6293958270439105,-0.5156374945358485,-0.6320187337580421
14.39,1.87,2.45,14.6,96.0,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290.0,0,class_0,2.449089669596229,1.1748501316494744,-0.9770948907141966,-0.06583050459018808,-1.0277619090259953
14.06,2.15,2.61,17.6,121.0,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295.0,0,class_0,2.059436871437913,1.608963068363506,0.14628188306156037,-1.19260801029221,0.07690349381000934
14.83,1.64,2.17,14.0,97.0,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045.0,0,class_0,2.510874297398987,0.9180709573337781,-1.7709690272289422,0.05627036123001269,-0.8922569767206769
13.86,1.35,2.27,16.0,98.0,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045.0,0,class_0,2.7536281876339084,0.7894376738336071,-0.9842474895182365,0.34938156831162975,-0.46855307554089515
14.1,2.16,2.3,18.0,105.0,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510.0,0,class_0,3.4797366827312097,1.3023332371235945,-0.422735216580846,0.026841759973584307,-0.3383747782271918
14.12,1.48,2.32,16.8,95.0,2.2,2.43,0.26,1.57,5.0,1.17,2.82,1280.0,0,class_0,1.7547529012945877,0.611977228745632,-1.190878319630174,-0.8901643378997592,-0.7385726590676331
13.75,1.73,2.41,16.0,89.0,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320.0,0,class_0,2.1134623403150945,0.6757063391426185,-0.8650864256166546,-0.3564380100097003,-1.2099287234323308
14.75,1.73,2.39,11.4,91.0,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150.0,0,class_0,3.4581568193367205,1.1306298761729383,-1.2042763525381899,0.1624580628591313,-2.023126808020387
14.38,1.87,2.38,12.0,102.0,3.3,3.64,0.29,2.96,7.5,1.2,3.0,1547.0,0,class_0,4.31278390676556,2.0959755753412614,-1.2639127523579983,0.30577318970434764,-1.0296926129271013
13.63,1.81,2.7,17.2,112.0,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310.0,0,class_0,2.3051882008279714,1.6625517299890544,0.21790261559595933,-1.440590027328109,-0.46955010360287486
14.3,1.92,2.72,20.0,120.0,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280.0,0,class_0,2.1719552737415118,2.327305336191418,0.83172986598601,-0.9126012748605066,-0.00011494041364850418
13.83,1.57,2.62,20.0,115.0,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130.0,0,class_0,1.8989711765627604,1.631368878642837,0.7949137923810714,-1.0823803881739023,-0.4387052138440931
14.19,1.59,2.48,16.5,108.0,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680.0,0,class_0,3.541985081943467,2.5183436693066445,-0.48545850766629123,-0.9103228070334994,-1.1530793383251665
13.64,3.1,2.56,15.2,116.0,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845.0,0,class_0,2.084522204730312,1.0611379935838599,-0.16474667849947355,0.48499741925280754,0.8825113543962525
14.06,1.63,2.28,16.0,126.0,3.0,3.17,0.24,2.1,5.65,1.09,3.71,780.0,0,class_0,3.1244025351672,0.7868971056508959,-0.3648870829888447,-0.02556169061541594,0.972413602265112
